,0
0,-864.827648223743
1,-1498.9584747200627
2,-1592.606685824424
3,-1600.1693242001522
4,-1611.3857961576323
5,-1747.2141876591843
6,-1776.544596039319
7,-1720.896946661411
8,-1652.0179607833768
9,-1433.7978493848723
10,-1517.0039998907516
11,-1862.4960013785812
12,-1833.9824421080657
13,-2179.203501999057
14,-2170.90457851329
15,-2240.853185499397
16,-2237.9887216032666
17,-2239.8774658418265
18,-2224.958465991616
19,-2229.2158830780386
20,-2226.429806535492
21,-2227.064846509774
22,-2230.935024011617
23,-2213.110998321745
24,-2215.95024445853
25,-2224.270503849143
26,-2263.2895507485755
27,-2253.113794154044
28,-2252.0054657323594
29,-2256.3065588071718
30,-2258.3353943199168
31,-2263.545968216238
32,-2269.629413532058
33,-2273.453570147914
34,-2275.9799838958716
35,-2273.182901562724
36,-2273.0915172606915
37,-2270.5588036637673
38,-2273.0017783190165
39,-2275.372023271695
40,-2274.9785788270015
41,-2275.5102531568436
42,-2256.614727509458
43,-2279.3559573203374
44,-2279.215526396657
45,-2279.146590370254
46,-2279.000298306968
47,-2282.030549868813
48,-2280.8379264684127
49,-2285.4297519368743
50,-2280.7521485841376
51,-2282.0296454145987
52,-2283.498498042183
53,-2286.4871278228507
54,-2285.2138194388262
55,-2277.5479963204098
56,-2286.4872111283507
57,-2281.9962138550122
58,-2287.7195792942566
59,-2281.164174709081
60,-2286.862152847588
61,-2287.2964539096947
62,-2286.8305363570876
63,-2286.8856322162474
64,-2286.7543705775797
65,-2284.5759444029973
66,-2288.208920931693
67,-2286.7502375300087
68,-2287.5231228727407
69,-2290.3841158031555
70,-2284.345835369847
71,-2282.7240294485846
72,-2281.447522817334
73,-2281.4393087789995
74,-2281.247740155668
75,-2286.831611567197
76,-2288.390765714165
77,-2288.232253488408
78,-2287.8410850673067
79,-2289.155277353896
80,-2288.2731533410465
81,-2288.061683437812
82,-2287.670254335112
83,-2287.44229157338
84,-2287.6529353322303
85,-2287.6018257009187
86,-2290.0414223970433
87,-2290.0491931219963
88,-2290.1693508707185
89,-2292.177056901207
90,-2291.113335967623
91,-2291.4039717071505
92,-2294.3764809329923
93,-2291.6128154774187
94,-2293.3924279104344
95,-2293.6746689971474
96,-2292.521222105181
97,-2287.991326650555
98,-2287.607598010893
99,-2286.2951815704846
100,-2280.352276981043
101,-2276.4176859894446
102,-2276.4453485427816
103,-2277.1364162321224
