,0
0,3575.326865352881
1,3585.6906948226165
2,2433.8662817591435
3,2320.4742995628885
4,2184.3080340982383
5,1811.9770828645944
6,529.9064952194997
7,530.2096762764082
8,-655.1264673311022
9,-648.3596864878687
10,-790.1279460178976
11,-655.0255418260737
12,-795.27934816676
13,-1570.5530639471917
14,-1810.0530417666498
15,-1818.9332450915194
16,-1839.4610261124446
17,-1894.7881005269187
18,-1853.018407375722
19,-1830.7889337229235
20,-1821.3057031465519
21,-1824.1071078187235
22,-1837.875512118057
23,-1838.3009189989182
24,-1864.5984254196399
25,-1868.6587326499812
26,-1901.484406736363
27,-1927.9137451585896
28,-2007.32306370621
29,-2026.8871389099384
30,-2088.592815564824
31,-2116.6974808042933
32,-2119.7864764566975
33,-2122.6239960935927
34,-2114.736768651041
35,-2117.779310806614
36,-2117.4058524213765
37,-2113.0660841455847
38,-2124.486938780658
39,-2132.6308511046395
40,-2134.1015231528363
41,-2144.935434306831
42,-2146.0754133225123
43,-2161.166074332589
44,-2136.6855046551527
45,-2204.8436391552655
46,-2204.3895220000873
47,-2206.094786250596
48,-2207.911442904656
49,-2209.440038725558
50,-2207.4966675794385
51,-2210.0584999144216
52,-2198.4487195269858
53,-2197.2999230085
54,-2202.6152379827126
55,-2221.2024273798766
56,-2220.1267780276476
57,-2242.2293325623123
58,-2240.026854724427
59,-2240.8311379554025
60,-2242.9042158729117
61,-2237.2582407875725
62,-2251.015513049763
63,-2259.655803390466
64,-2260.5575068318826
65,-2260.9873061683656
66,-2260.4499997423713
67,-2255.557086335997
68,-2253.167372182399
69,-2259.630713991767
70,-2260.0416912644328
71,-2254.5682256415294
72,-2251.233584316534
73,-2249.4159323061726
74,-2252.1112544935468
75,-2253.245527837432
76,-2254.273832614364
77,-2253.607381816157
78,-2257.273217217514
79,-2256.203710869857
80,-2256.308788089475
81,-2255.238638030317
82,-2261.0772963358704
83,-2260.1251281855884
84,-2259.7793417607227
85,-2266.1367797404896
86,-2265.0630910528826
87,-2266.0658100457417
88,-2260.985276935138
89,-2260.9003409009147
90,-2261.528671216701
91,-2260.6674142877655
92,-2259.5293627642336
93,-2259.4281259467984
94,-2254.6871100050867
95,-2249.3082389263177
96,-2244.8039379205256
97,-2244.785652977034
98,-2251.5375674802144
99,-2246.42488730619
100,-2246.1779853395096
101,-2248.6924204279394
102,-2246.293270622892
103,-2243.1719299752012
104,-2243.858107974315
105,-2244.463285944968
106,-2247.5002799533395
107,-2254.463702083779
108,-2256.8625883207537
109,-2262.18477185675
110,-2262.9100355666924
111,-2261.4175649331164
112,-2263.341656283632
113,-2260.2828618805656
114,-2260.1445163532508
115,-2260.025941356918
116,-2256.470809627272
117,-2257.6300376465488
118,-2261.731475123404
119,-2261.5290117607424
120,-2261.0004369084872
121,-2261.9870813687353
122,-2261.2743419254766
123,-2264.132526521382
124,-2265.992716921323
125,-2265.943564025913
126,-2266.710039483006
127,-2266.5628758239454
128,-2261.1046759776214
129,-2260.4522948891035
130,-2261.8214399940043
131,-2261.8281054383665
132,-2265.873573896073
133,-2265.350901965436
134,-2265.8247189186927
135,-2264.7434063574965
136,-2269.4932108970484
137,-2268.4679727600537
138,-2268.965655152121
139,-2270.1348341109697
140,-2269.3722270505236
141,-2270.7021373894636
142,-2269.9346286832956
143,-2269.6692884015474
144,-2268.064509850325
145,-2268.8229650251637
146,-2268.4648906341827
147,-2268.5820925931384
148,-2269.171430705851
149,-2267.1206581829515
150,-2266.994798330784
151,-2271.063918781036
152,-2270.0168025753505
153,-2271.3160051126215
154,-2270.8719069128765
155,-2270.8815693378465
156,-2267.0222640004486
157,-2274.959129049192
158,-2271.379937785489
159,-2271.5572455667766
160,-2266.39825245323
161,-2268.13630884325
